Student ID,Age,Gender,Year,GPA,Brain Dominance,Time Spent on Video (min),Avg Video Score,Video Completion Rate (%),Time Spent on Audio (min),Avg Audio Score,Audio Completion Rate (%),Time Spent on Article (min),Avg Article Score,Article Completion Rate (%),Time Spent on Interactive (min),Avg Interactive Score,Interactive Completion Rate (%),Progress (%),Total Scroll Depth on Articles (%),Visual,Aural,Read/Write,Kinesthetic,Primary VARK
84,25,F,3rd,3.95,Right,58,75,54,45,58,44,56,64,64,70,72,61,89,44,26.15,20.52,25.33,28,Visual
85,18,M,1st,2.46,Left,70,77,48,59,62,62,48,61,49,47,47,27,51,87,29.85,27.55,24.12,18.49,Visual
86,21,M,3rd,3.51,Right,64,68,60,58,55,38,61,71,54,43,47,38,67,68,29.11,22.97,28.44,19.48,Visual
87,22,F,3rd,2.25,Left,59,74,42,60,71,24,60,71,55,71,81,42,71,44,24.68,22.08,25.92,27.32,Kinesthetic
88,22,F,1st,2.15,Right,52,57,50,70,83,63,48,59,64,53,61,45,74,70,22.48,30.78,24.08,22.65,Aural
89,18,F,2nd,3.4,Left,61,53,56,46,60,27,54,59,28,57,50,31,62,99,28.61,23.32,24.49,23.58,Visual
90,21,F,2nd,3.07,Left,47,53,58,29,63,42,44,66,31,55,58,48,90,97,26.06,23,24.18,26.76,Kinesthetic
91,19,F,1st,3.27,Right,57,68,72,54,74,41,69,64,50,58,56,39,77,46,27.83,24.54,25.89,21.75,Visual
92,19,M,1st,2.86,Balanced,61,59,57,80,75,52,43,63,33,71,71,40,83,55,24.76,29.21,20.14,25.89,Aural
93,24,M,3rd,3.66,Left,76,59,65,68,69,61,60,60,52,59,63,42,69,83,26.87,27.03,23.48,22.63,Aural
94,20,F,4th,3.37,Left,49,61,49,82,71,54,43,61,24,51,65,31,75,87,24.67,31.73,20.4,23.2,Aural
95,20,F,1st,3.82,Balanced,49,35,46,62,61,38,62,71,59,72,70,70,70,92,18.3,23.43,27.86,30.4,Kinesthetic
96,19,M,2nd,2.52,Left,60,46,55,54,60,40,84,75,38,73,77,53,58,37,22.01,21.72,27.72,28.55,Visual
97,21,M,2nd,2.48,Left,57,67,37,77,79,59,58,80,41,59,60,39,59,38,22.68,29.86,25.44,22.02,Aural
98,18,F,3rd,3.21,Left,46,48,45,52,67,66,34,49,57,70,59,49,88,68,21.64,28.94,21.82,27.59,Aural
99,25,F,2nd,2.25,Left,42,49,40,51,50,28,45,54,31,56,70,52,63,93,22.94,22.68,23.04,31.34,Kinesthetic
100,20,M,4th,3.48,Right,34,48,38,50,55,37,68,62,32,54,55,37,88,87,21.14,24.92,28.39,25.54,Read/Write
101,20,M,2nd,3.01,Right,61,71,58,66,68,48,61,84,60,59,65,53,98,61,25.14,24.08,27.41,23.37,Read/Write
102,20,F,4th,2.53,Left,40,55,29,82,73,44,56,60,52,29,47,18,84,47,21.46,33.67,28.34,16.53,Aural
103,25,M,3rd,3.9,Left,35,50,34,66,80,51,40,60,40,34,55,19,88,71,21.01,34.64,24.78,19.57,Aural
104,22,F,4th,2.87,Right,63,63,57,47,52,33,73,71,53,57,42,56,96,79,27.46,20.1,29.7,22.75,Read/Write
105,18,F,4th,2.76,Balanced,71,64,48,62,63,43,57,73,49,51,49,14,92,94,28.11,26,27.97,17.93,Visual
106,24,F,3rd,2.84,Right,57,62,43,78,67,57,83,78,53,47,56,59,94,45,22.07,27.1,29,21.83,Read/Write
107,23,M,2nd,3.26,Balanced,55,81,48,47,61,24,46,50,58,57,68,40,57,43,29.24,21.11,23.65,26,Visual
108,19,F,1st,3.56,Balanced,72,65,73,76,72,50,46,51,41,55,55,36,86,52,29.97,28.72,20.05,21.26,Visual
109,20,M,4th,3.1,Left,51,66,62,39,47,39,44,67,53,47,67,36,70,40,28.7,20.09,26.61,24.61,Visual
110,22,M,4th,3.18,Balanced,42,50,34,40,48,46,36,58,36,42,50,51,66,77,23.71,24.93,24.82,26.54,Kinesthetic
111,25,M,1st,2.72,Balanced,52,57,18,45,56,15,80,75,64,56,53,53,97,51,20.73,19.12,34.64,25.51,Read/Write
112,24,F,3rd,3.47,Right,53,63,42,64,69,67,60,62,49,49,77,42,50,32,22.73,28.32,24.34,24.6,Visual
113,22,F,3rd,3.14,Left,75,72,64,65,83,47,54,73,53,62,81,69,90,70,26.08,24.71,22.68,26.53,Kinesthetic
114,22,M,3rd,3.54,Left,60,50,45,58,80,34,73,66,32,56,72,70,92,84,21.86,25.3,24.58,28.27,Kinesthetic
115,19,F,1st,3.78,Left,81,69,57,65,73,45,39,57,43,60,82,44,80,77,28.44,25.64,19.54,26.38,Visual
116,23,F,1st,3.52,Right,72,75,64,42,62,37,59,56,53,35,63,49,95,51,31.37,21.49,24.81,22.33,Visual
117,25,F,2nd,2.24,Balanced,72,66,50,32,51,28,65,66,55,74,68,46,71,87,27.75,16.92,27.49,27.84,Kinesthetic
118,21,F,1st,2.92,Right,41,52,22,48,51,37,54,73,57,69,68,46,82,91,18.92,21.88,29.79,29.41,Read/Write
119,19,M,3rd,3.25,Right,49,62,59,46,38,52,52,64,53,65,70,72,51,82,25.09,19.56,25.04,30.31,Kinesthetic
120,20,F,2nd,3.38,Balanced,46,63,53,63,53,45,57,70,51,35,63,50,58,69,25,24.41,27.5,23.09,Read/Write
121,25,M,2nd,2.39,Right,61,70,68,55,72,52,66,80,64,52,56,42,94,41,26.77,24.44,28.49,20.3,Read/Write
122,20,F,4th,3.77,Right,70,77,63,35,50,34,77,74,70,77,76,51,83,83,27.85,16.03,29.03,27.1,Read/Write
123,20,M,1st,3.8,Balanced,67,65,49,50,62,49,58,41,23,48,55,39,69,64,29.79,26.7,19.94,23.57,Visual
124,24,M,1st,3.58,Left,53,48,43,63,58,49,42,57,54,63,65,56,60,60,22.01,26.04,23.66,28.29,Kinesthetic
125,23,F,4th,3.67,Right,65,64,39,58,76,58,60,68,44,56,62,55,95,98,23.82,27.34,24.49,24.36,Aural
126,23,M,3rd,3.88,Left,38,58,35,46,53,41,48,52,53,75,67,48,54,87,21.77,22.83,24.66,30.74,Kinesthetic
127,25,F,3rd,2.16,Left,58,79,52,54,52,34,57,78,41,66,75,62,68,73,26.83,19.6,25.17,28.41,Kinesthetic
128,20,F,3rd,3.17,Balanced,42,51,59,62,84,61,52,55,41,57,71,58,68,32,21.67,30.13,21.32,26.88,Aural
129,23,M,3rd,3.64,Left,82,85,56,43,59,61,74,82,64,40,40,49,91,56,30.51,22.18,30.03,17.28,Visual
130,19,M,2nd,2.01,Left,61,76,61,43,53,40,72,72,72,38,54,49,98,37,28.78,19.8,30.93,20.49,Read/Write
131,24,M,3rd,3.01,Left,47,57,56,51,50,13,36,55,49,67,59,49,72,35,27.01,19.72,23.89,29.38,Kinesthetic
132,23,M,1st,3.77,Right,28,56,49,51,55,35,66,74,55,68,65,62,51,96,20.29,21.32,29.39,28.99,Read/Write
133,18,M,4th,2.92,Balanced,62,69,62,86,72,33,47,73,48,40,54,51,69,44,27.47,27.34,24.46,20.73,Visual
134,21,M,3rd,3.04,Right,34,41,44,68,69,40,31,54,43,63,67,52,56,59,19.42,29.28,21.38,29.92,Kinesthetic
135,25,M,4th,3.63,Right,76,64,59,44,64,47,61,66,47,74,64,43,51,58,27.71,22.18,24.65,25.45,Visual
136,18,F,1st,2.52,Left,56,65,17,45,56,34,57,62,50,41,47,38,51,32,24.77,23.84,29.42,21.98,Read/Write
137,25,F,1st,2.8,Balanced,64,62,54,75,64,58,53,61,48,44,52,54,94,92,26.11,28.4,23.72,21.77,Aural
138,21,M,2nd,2.1,Left,63,59,51,54,68,56,55,73,45,45,58,43,97,80,25.49,26.54,26.1,21.87,Aural
139,23,F,3rd,2.81,Right,75,75,43,34,49,28,51,62,56,19,44,31,78,38,33.87,19.78,29.47,16.88,Visual
140,25,M,2nd,3.38,Balanced,67,66,22,34,45,45,71,72,59,45,46,26,61,69,26.25,20.61,33.51,19.62,Read/Write
141,20,M,1st,3.53,Balanced,72,72,50,81,78,64,61,76,49,58,64,60,77,62,24.73,28.24,23.97,23.06,Aural
142,25,F,3rd,2.29,Balanced,41,59,54,40,53,37,34,56,37,46,57,53,81,56,27.05,23,22.69,27.26,Kinesthetic
143,19,F,4th,2.37,Left,63,62,39,35,44,28,45,45,45,73,63,62,65,42,27.34,18.02,22.21,32.43,Kinesthetic
144,20,M,4th,3,Left,46,61,45,39,50,41,55,62,55,67,83,71,91,47,22.67,19.29,25.34,32.7,Kinesthetic
145,20,M,3rd,2.54,Left,70,66,53,39,58,31,29,46,63,45,51,21,86,55,32.68,22.82,23.75,20.75,Visual
146,20,M,2nd,2.39,Balanced,41,48,26,75,75,62,54,67,74,54,50,32,84,54,17.75,32.11,29.45,20.69,Aural
147,19,F,4th,2.47,Left,66,65,56,61,53,19,36,74,57,52,71,61,76,72,27.5,19.86,25.26,27.37,Visual
148,20,F,1st,3.52,Left,87,77,57,80,71,51,63,80,52,68,80,49,67,42,26.88,24.59,24.16,24.37,Visual
149,24,F,2nd,3.46,Left,74,66,63,52,64,50,68,68,55,50,60,48,96,97,27.99,23.3,26.58,22.14,Visual
150,19,F,4th,3.98,Left,53,68,59,53,58,37,55,73,45,62,66,50,93,94,26.41,21.81,25.72,26.06,Visual
151,25,F,2nd,3.67,Left,70,72,49,61,73,47,35,48,37,69,52,56,73,46,28.64,27.35,18.12,25.89,Visual
152,22,F,2nd,3.14,Left,52,66,32,35,53,43,56,54,56,62,64,58,81,53,24.23,20.94,25.92,28.92,Kinesthetic
153,19,M,3rd,2.17,Balanced,59,65,37,56,40,34,60,65,45,65,51,31,64,90,26.8,21.03,28.12,24.06,Visual
154,21,F,3rd,3.76,Balanced,54,62,42,47,56,40,63,71,48,60,75,58,74,35,23.39,21.16,26.92,28.53,Visual
155,20,M,3rd,3.02,Balanced,57,71,53,45,51,27,44,49,24,61,75,74,69,95,28.71,19.64,18.7,32.96,Kinesthetic
156,22,F,3rd,3.26,Right,45,50,24,36,57,29,39,52,26,55,44,45,98,35,23.82,24.75,23.58,27.85,Kinesthetic
157,21,M,4th,2.87,Balanced,41,59,50,71,80,60,49,58,63,40,49,29,53,64,23.21,32.51,25.9,18.38,Visual
158,21,M,3rd,2.95,Balanced,88,77,68,69,67,55,82,85,53,55,83,54,86,84,27.52,22.7,26.42,23.37,Visual
159,21,F,4th,3.02,Balanced,54,61,54,53,64,48,58,61,60,58,66,63,85,58,24.15,23.77,25.43,26.66,Kinesthetic
160,19,F,3rd,3.94,Balanced,35,47,44,56,73,51,62,75,67,34,58,59,83,48,19.01,27.42,30.72,22.85,Read/Write
161,23,M,2nd,3.35,Right,50,56,65,58,61,36,50,62,53,44,67,27,53,41,26.68,24.66,26.11,22.55,Visual
162,21,M,2nd,2.13,Left,66,80,73,49,73,68,69,78,63,55,52,51,83,54,28.19,24.6,27.08,20.12,Visual
163,20,F,4th,2.99,Right,55,83,43,63,64,55,78,71,60,63,73,64,68,66,24.01,23.4,26.77,25.82,Read/Write
164,22,M,3rd,3.94,Balanced,50,57,27,60,69,76,73,64,44,62,79,57,83,64,18.94,28.23,25.05,27.78,Aural
165,18,F,2nd,3.74,Right,35,52,25,56,47,28,42,57,35,80,79,53,94,30,19.38,21.98,22.93,35.71,Kinesthetic
166,21,F,4th,3.42,Left,57,61,39,48,50,31,36,63,44,77,87,54,81,63,24.16,19.85,22.34,33.65,Kinesthetic
167,24,F,1st,3.94,Right,71,75,64,30,56,29,73,66,50,33,46,40,60,62,32.91,18.72,29.55,18.81,Visual
168,18,F,3rd,3.78,Right,59,64,54,58,73,50,44,66,46,55,60,39,57,94,26.25,27.17,23.56,23.03,Aural
169,21,M,4th,3.36,Right,69,67,41,58,55,51,51,43,46,53,70,68,96,53,26.57,24.3,20.57,28.57,Kinesthetic
170,18,F,2nd,3.89,Right,48,66,36,52,75,73,53,50,25,47,38,43,51,74,25.21,32.98,21.2,20.62,Aural
171,19,F,4th,3.1,Right,41,50,33,30,55,45,69,68,49,45,56,61,58,52,20.74,21.87,30.76,26.63,Read/Write
172,23,F,4th,2.94,Left,57,53,33,35,68,38,94,81,74,59,84,71,79,36,19.07,19.43,32.77,28.73,Read/Write
173,20,F,4th,3.68,Left,69,83,66,62,81,70,57,79,38,51,72,42,91,49,28.08,27.43,22.9,21.6,Visual
174,20,F,1st,2.78,Balanced,59,80,60,55,64,36,56,75,48,86,71,65,56,75,26.5,20.7,23.95,28.85,Kinesthetic
175,24,M,3rd,3.82,Left,69,82,64,56,77,45,51,71,48,37,50,43,96,48,30.82,25.9,24.63,18.65,Visual
176,25,M,4th,2.16,Balanced,52,58,49,64,71,52,43,53,37,30,60,56,61,56,25.27,29.85,21.35,23.52,Aural
177,24,F,4th,2.84,Balanced,63,53,58,64,67,51,68,81,69,43,47,26,84,91,24.81,26.45,31.71,17.04,Read/Write
178,25,M,1st,2.65,Balanced,49,53,35,70,74,55,74,82,49,50,54,53,50,61,19.69,28.47,29.57,22.27,Visual
179,24,M,1st,3.34,Right,78,64,58,58,68,46,52,73,37,40,45,64,72,48,28.88,25.4,24.31,21.4,Visual
180,19,M,3rd,2.02,Right,83,78,52,51,71,51,46,69,44,51,65,52,98,88,29.6,24.36,22.54,23.49,Visual
181,23,F,1st,3.42,Left,36,58,36,48,55,33,40,55,41,70,71,43,91,83,22.43,23.18,23.18,31.2,Kinesthetic
182,23,M,1st,3.66,Right,56,58,42,74,64,54,53,79,50,68,69,52,57,44,21.67,26.37,25.75,26.21,Aural
183,21,F,2nd,2.94,Left,46,73,40,65,61,37,45,77,31,33,55,44,94,52,26.35,26.35,25.68,21.61,Visual
184,19,M,2nd,2.86,Right,38,58,37,70,75,61,48,49,57,46,80,59,78,94,19.9,30.18,22.26,27.66,Aural
185,23,M,1st,2.77,Right,58,78,51,54,58,46,52,48,38,72,46,48,58,64,29.35,24.44,21.22,24.99,Visual
186,22,F,3rd,2.57,Left,58,65,40,53,71,46,54,64,49,57,57,30,52,55,25.31,26.54,25.81,22.34,Aural
187,22,F,2nd,3.53,Right,41,44,23,47,61,37,38,48,47,44,63,36,98,91,20.41,27.51,24.79,27.29,Aural
188,18,F,3rd,3.18,Balanced,55,79,55,60,56,37,59,77,58,53,70,50,81,53,26.82,21.38,27.36,24.45,Read/Write
189,18,M,4th,3.76,Balanced,63,60,64,60,58,33,46,50,61,84,76,72,90,68,25.61,21.07,21.48,31.84,Kinesthetic
190,20,F,1st,2.36,Right,50,56,78,57,81,55,75,79,56,44,64,38,84,65,24.53,26.62,28.6,20.25,Read/Write
191,20,M,3rd,2.71,Right,20,46,56,40,55,34,69,78,64,40,62,41,72,76,20.04,21.5,34.58,23.88,Read/Write
192,22,F,3rd,2.46,Balanced,73,77,64,63,59,51,73,70,54,62,78,54,100,40,27.46,22.08,25.25,25.21,Visual
193,18,M,4th,3.58,Balanced,66,61,54,63,64,41,71,65,28,44,64,40,53,99,27,25.39,24.9,22.71,Visual
194,18,F,2nd,3.45,Right,52,52,43,72,75,58,43,56,43,50,55,44,95,54,22.75,31.84,22.24,23.17,Aural
195,21,F,2nd,2.58,Right,37,62,27,62,60,51,44,61,41,77,64,44,85,53,20.59,27.09,23.35,28.97,Kinesthetic
196,18,F,2nd,2.77,Balanced,52,71,53,54,51,51,15,56,37,35,68,42,89,88,29.94,25.94,18.99,25.14,Visual
197,23,M,2nd,3.74,Balanced,41,65,64,53,48,28,47,53,30,46,49,46,74,87,29.87,22.6,23.01,24.52,Visual
198,22,F,1st,3.19,Balanced,47,70,47,57,65,69,54,51,37,25,61,41,52,43,26.52,30.11,22.51,20.86,Aural
199,21,F,4th,2.72,Right,68,69,58,44,45,58,55,58,36,57,76,52,99,85,28.73,21.35,22.19,27.72,Visual
200,25,M,4th,3.3,Right,72,79,48,82,75,59,54,53,52,67,59,43,61,82,27.09,28.98,21.24,22.69,Aural
201,19,F,3rd,3.38,Right,48,48,52,53,68,59,48,53,42,67,68,62,93,77,21.95,27.13,21.51,29.41,Kinesthetic
202,19,M,1st,3.72,Balanced,75,75,65,70,76,47,59,83,66,48,59,35,70,48,28.05,25.52,27.54,18.89,Visual
203,23,F,2nd,2,Balanced,53,70,77,48,56,46,61,65,40,78,68,67,93,78,27.39,20.69,23.02,28.9,Kinesthetic
204,20,M,3rd,3.57,Right,47,60,40,45,53,46,45,47,28,80,76,51,96,71,23.97,23.21,19.47,33.35,Kinesthetic
